month,temp_max_avg,temp_avg_mean,temp_min_avg,humidity_avg,wind_speed_avg,total_precip_mm,rainy_days
1,8.23984723265715,2.9553017781116955,-2.3420535937891307,71.4053097670924,6.537379914850989,9254.915,1480
2,9.837675675675676,3.87301280227596,-2.082950213371266,66.48746193456614,7.133881081081081,7750.252,1363
3,15.274112944816917,9.088352243424445,2.9098169159360494,63.755581150077354,7.586389375966993,9710.7,1444
4,19.552836461126006,12.931788203753351,6.322538873994638,59.767165710455764,7.670807506702413,9680.962,1428
5,24.521693121693122,18.077414965986392,11.651690602166791,62.58029226505417,6.7463922902494335,11868.175,1619
6,29.3603615729744,22.857854315122726,16.347534969648983,62.329759276854055,6.197416996569015,11136.428,1410
7,31.287679713481708,25.02032744947557,18.74204655922231,65.10985098490663,5.36286876438987,12688.888,1514
8,30.83451983038164,24.47446994262908,18.110291843352456,65.76447692691444,5.318586679970068,11810.295,1471
9,27.840931610123857,21.249870759289177,14.660640818524502,65.15434111470113,5.510406300484653,9816.235,1116
10,21.947871313672923,15.256868632707775,8.57441018766756,64.07849723860589,5.914686595174262,7945.177,1049
11,15.190730852211436,9.097729234088456,3.0190507011866234,65.94057518878101,6.5528705501618125,7253.41,1080
12,10.359545219638244,4.971762273901809,-0.42954005167958653,71.25989410852713,6.3643966408268735,8181.074,1392
