metric_id,metric_label,scope_id,scope_name,period_start,period_end,month_window,observation_unit,numerator,denominator,percentage,threshold,recommended_action,risk_rule_version,data_type,source_file,generated_at,limitation
summer_hot_observation_share,Hot June-July observations,reviewed_multi_station_dataset,Reviewed multi-station weather dataset,2020-01-01,2024-12-31,June-July,station_date_observation,4313,7672,56.22,maximum temperature >= 30 C,Add water points and shade,weather_risk_rules_v1,derived,daily_weather_clean.csv,2026-08-12T00:00:00Z,Historical multi-station evidence; not a live forecast or a venue-specific claim.
summer_rainy_observation_share,Rainy June-July observations,reviewed_multi_station_dataset,Reviewed multi-station weather dataset,2020-01-01,2024-12-31,June-July,station_date_observation,2911,7672,37.94,precipitation > 0 mm,Add covered waiting and shuttle capacity,weather_risk_rules_v1,derived,daily_weather_clean.csv,2026-08-12T00:00:00Z,Historical multi-station evidence; not a live forecast or a venue-specific claim.
summer_heavy_rain_observation_share,Heavy-rain June-July observations,reviewed_multi_station_dataset,Reviewed multi-station weather dataset,2020-01-01,2024-12-31,June-July,station_date_observation,394,7672,5.14,precipitation > 20 mm,Stage additional covered capacity and monitor disruption risk,weather_risk_rules_v1,derived,daily_weather_clean.csv,2026-08-12T00:00:00Z,Historical multi-station evidence; not a live forecast or a venue-specific claim.
summer_windy_observation_share,Windy June-July observations,reviewed_multi_station_dataset,Reviewed multi-station weather dataset,2020-01-01,2024-12-31,June-July,station_date_observation,27,7672,0.35,wind speed >= 20 knots,Secure temporary structures,weather_risk_rules_v1,derived,daily_weather_clean.csv,2026-08-12T00:00:00Z,Historical multi-station evidence; not a live forecast or a venue-specific claim.
summer_low_visibility_observation_share,Low-visibility June-July observations,reviewed_multi_station_dataset,Reviewed multi-station weather dataset,2020-01-01,2024-12-31,June-July,station_date_observation,311,7672,4.05,visibility <= 5 km,Use slower vehicle assumptions and active staff guidance,weather_risk_rules_v1,derived,daily_weather_clean.csv,2026-08-12T00:00:00Z,Historical multi-station evidence; not a live forecast or a venue-specific claim.
all_period_low_risk_observation_share,Low-risk observations,reviewed_multi_station_dataset,Reviewed multi-station weather dataset,2020-01-01,2024-12-31,All months,station_date_observation,22337,45704,48.87,FinalFlow low risk-score band,Normal operations,weather_risk_rules_v1,derived,daily_weather_clean.csv,2026-08-12T00:00:00Z,"Historical multi-station evidence; not a live forecast or a venue-specific claim. Risk bands are FinalFlow project heuristics, not scientific standards."
all_period_medium_risk_observation_share,Medium-risk observations,reviewed_multi_station_dataset,Reviewed multi-station weather dataset,2020-01-01,2024-12-31,All months,station_date_observation,20505,45704,44.86,FinalFlow medium risk-score band,Apply the actions triggered by the active weather flags,weather_risk_rules_v1,derived,daily_weather_clean.csv,2026-08-12T00:00:00Z,"Historical multi-station evidence; not a live forecast or a venue-specific claim. Risk bands are FinalFlow project heuristics, not scientific standards."
all_period_high_risk_observation_share,High-risk observations,reviewed_multi_station_dataset,Reviewed multi-station weather dataset,2020-01-01,2024-12-31,All months,station_date_observation,2862,45704,6.26,FinalFlow high risk-score band,Apply all triggered actions and increase operational monitoring,weather_risk_rules_v1,derived,daily_weather_clean.csv,2026-08-12T00:00:00Z,"Historical multi-station evidence; not a live forecast or a venue-specific claim. Risk bands are FinalFlow project heuristics, not scientific standards."
