BRAND_ID,TOTAL_REVENUE,TOTAL_TRANS,AVG_SPEND_PER_TRANS
10225,13422.8122,14.7864,907.78
10228,14625.4982,231.815,63.09
10229,2089.5024,66.6274,31.36
10231,346588.8156,22632.2905,15.31
10232,15268172.6508,90421.3178,168.86
10233,533458.6255,1695.371,314.66
10234,8162852.1305,4261.913,1915.3
10236,14993406.7891,239878.6361,62.5
10237,387985.37059999997,21176.8114,18.32
10238,2161533.0219,46439.5636,46.55
10239,3784.8601,16.159,234.23
10243,33635358.144,93489.4614,359.78
10244,495.4323,16.215600000000002,30.55
10245,735612.9168,4387.1023,167.68
10246,22780714.4335,441391.9801,51.61
10247,128346144.2081,1504831.1614,85.29
10249,1603.797,1.2895,1243.74
10253,1715913.345,27118.9286,63.27
10254,2560334.1947,24458.9753,104.68
10257,47185783.0512,787010.9923,59.96
10258,290099336.9458,9193859.9417,31.55
10259,278197.9548,1482.1788,187.7
10260,213613.8546,10598.2092,20.16
10261,2810539.4422999998,228602.0391,12.29
10263,9878234.020299999,249058.1739,39.66
10264,12248417.3845,826087.4889,14.83
10267,6000911.4433,2748.5267,2183.32
10268,346042192.3643,7554687.9257,45.8
10269,799.7281,88.5092,9.04
10270,15166.5954,16.9907,892.64
10271,15220720.2587,99457.5765,153.04
10274,1190923.6706,5802.5329,205.24
10276,125850.8587,1352.6368,93.04
10277,2813581.1053,45908.6441,61.29
10279,947324.5057,449.806,2106.07
10280,339049211.0222,6919032.0222,49.0
10282,51.9913,1.1811,44.02
10283,538878.5915,8228.2555,65.49
10284,40509.8196,1522.7134,26.6
10285,15813.3752,260.4979,60.7
10287,3627555.9143,12183.6776,297.74
10288,772361.5922,5382.855,143.49
10289,488463820.5018,6069684.7708,80.48
10290,507905.3374,669.8653,758.22
10292,140213853.511,2113675.4647,66.34
10296,280953.265,776.4154,361.86
10298,89124.6912,211.6144,421.17
10300,2686340.7460000003,174175.7366,15.42
10301,437.4261,4.0756,107.33
10304,69978.7186,700.9789,99.83
10305,24893140.4272,223253.824,111.5
10306,1254461.1801,11649.2993,107.69
10307,27041.644500000002,686.5112,39.39
10312,22046.4637,14.4182,1529.07
10315,633644729.0658,2760233.1333,229.56
10318,716832.4623,16412.4356,43.68
10319,112060681.1577,552774.2709,202.72
10321,1890.5593999999999,85.1631,22.2
10323,56000.8531,167.2688,334.8
10327,6667507.3599,18176.3888,366.82
10328,704330.1653,16649.481,42.3
10330,366374489.0872,6263606.0745,58.49
10331,5742995.9868,135403.3494,42.41
10332,123441.2092,1345.2269,91.76
10333,3765534.0562,220819.1499,17.05
10334,291672903.4663,5924255.1142,49.23
10335,1534009.0173,4316.3932,355.39
10337,153465928.6207,2737378.2266,56.06
10339,67731.9435,308.49399999999997,219.56
10340,2415511.9383,9807.443299999999,246.29
10341,910638.352,2858.8856,318.53
10343,485518.9268,2430.9738,199.72
10345,1720971.9594999999,5279.8005,325.95
10347,3853.1745,21.128500000000003,182.37
10348,905.9521,15.804300000000001,57.32
10349,25064.9795,448.5239,55.88
10352,795431741.8332,7702076.0448,103.27
10354,2047239.8031,19410.7783,105.47
10357,311046.4558,3961.2356,78.52
10359,85027482.5045,3146054.8542,27.03
10360,158065.2917,3536.397,44.7
10364,274951407.1721,1251336.2343,219.73
10365,98289.5962,480.281,204.65
10368,49725485.2164,716624.1842,69.39
10369,37370656.7046,3074139.3022,12.16
10370,26999120.2938,20881.8687,1292.95
10371,9605684.6074,67899.4184,141.47
10375,216769222.0191,291029.3543,744.84
10378,2335575.1448,72949.1478,32.02
10379,104233310.4908,107219.0193,972.15
10380,5075101.4454,58156.0543,87.27
10381,2447148.5179,21571.256699999998,113.44
10382,5139.2479,108.7031,47.28
10383,397081.4691,5937.1167,66.88
10384,5761856.1518,416209.9255,13.84
10386,74907.6183,479.5546,156.2
10387,135566.4835,827.189,163.89
10388,459.2955,7.1532,64.21
10389,10855.4608,331.392,32.76
10391,2797598.2475,35754.7934,78.24
10392,23706034.6196,110987.901,213.59
10393,29846.874200000002,795.8748,37.5
10394,273305884.1993,727079.4563,375.9
10395,11727939.6435,325545.6543,36.03
10396,49.1963,3.1008,15.87
10397,392010864.906,5797513.4437,67.62
10398,33660728.7121,242661.7261,138.71
10400,6121.8744,40.1242,152.57
10401,10421343.7273,69105.8217,150.8
10403,650184.325,2537.714,256.21
10404,679726.7236,3184.6612,213.44
10405,73191371.784,1240036.6959,59.02
10406,18337852.8944,74432.0946,246.37
10407,6473509.8848,276307.8105,23.43
10408,362074.4014,2584.1585,140.11
10409,314838.6025,5582.1237,56.4
10411,583.6149,11.352,51.41
10413,507.9452,26.4401,19.21
10414,9847.1462,10.0068,984.05
10415,5775430.8111000005,264084.0502,21.87
10417,1334.3352,62.4544,21.36
10419,75631.652,1203.2993999999999,62.85
10422,116054057.4581,6157762.6499,18.85
10426,2091.3199999999997,2.2868,914.52
10429,3213175.1653,47118.269,68.19
10430,5109726.5782,14038.3846,363.98
10435,145578.6401,2995.6859,48.6
10436,3074.8266,17.5359,175.34
10437,6455190.7626,69350.9905,93.08
10439,12377729.4075,170137.3562,72.75
10440,449443.0691,544.9114,824.8
10442,3839818.1472,84320.5983,45.54
10443,6663.7675,161.7828,41.19
10444,306336967.8706,539031.6915,568.31
10447,12466.8568,235.2742,52.99
10448,25332661.6866,136847.3285,185.12
10449,155822.3531,2269.0269,68.67
10450,754010544.6653,17627490.304899998,42.77
10451,56798.5498,3772.8674,15.05
10455,30962946.4423,331632.0583,93.37
10456,7485527.7661,147458.9559,50.76
10457,28355525.9395,246695.05730000001,114.94
10458,184264.33789999998,1153.4045,159.76
10459,310192882.2012,884364.6671,350.75
10460,5635.4704,37.3829,150.75
10461,413070.8104,7400.5948,55.82
10462,1149673.6042,3807.1049,301.98
10463,103781341.0735,2419953.1311,42.89
10466,2578361.3059,26074.6659,98.88
10467,89734044.1589,123882.1186,724.35
10469,228571152.2079,18504160.4333,12.35
10471,252405026.65850002,3645233.1467,69.24
10472,5695.3673,104.3437,54.58
10475,2858184.5161,44179.3883,64.69
10476,31415106.988900002,286219.837,109.76
10477,2127670.5712,746.2748,2851.06
10478,83957.2273,1008.3342,83.26
10480,6474339.0154,2412.1966,2684.0
10481,86635990.1149,754881.0812,114.77
10482,364552.3619,3686.6407,98.88
10483,45030.0097,1492.8835,30.16
10488,720915.6324,18391.9937,39.2
10491,4036233.0078,84968.4197,47.5
10492,15590.5696,959.4325,16.25
10493,151569.4119,835.3595,181.44
10494,6547175.2063,26565.0238,246.46
10496,1944624.2286,7839.3051,248.06
10497,40322666.1351,198958.7949,202.67
10498,14047142.0454,60430.9649,232.45
10500,7849050.0192,56519.995,138.87
10501,5986506.0049,127233.0052,47.05
10502,121131.36469999999,365.3258,331.57
10503,15473009.325199999,73535.9149,210.41
10504,61861.2513,1727.4384,35.81
10505,102052.94440000001,6379.0076,16.0
10506,3405651.2186,52577.3676,64.77
10507,100750.1187,523.745,192.36
10508,387.73290000000003,20.2974,19.1
10509,1844.5401,32.7376,56.34
10510,2207936.982,202965.5017,10.88
10511,2832648.9038,197581.7183,14.34
10514,59.6716,2.5664,23.25
10515,467353.3643,2874.9573,162.56
10516,62643562.7129,78275.2352,800.3
10517,30707.776400000002,2207.8337,13.91
10518,257200254.0073,489148.28250000003,525.81
10519,5815028.6563,208757.6,27.86
10521,25279298.2496,404866.7116,62.44
10522,1544977.159,12087.9559,127.81
10524,83.509,3.0564,27.32
10525,4701211.6961,118527.3381,39.66
10526,17842.285799999998,79.028,225.77
10529,3811003.0437000003,9161.8745,415.96
10530,72289702.5289,1250928.5769,57.79
10531,58297112.2328,21914.485,2660.21
10532,6856639.2632,450663.4055,15.21
10534,9477722.6085,628149.0378,15.09
10535,76131186.9761,1086571.8546,70.07
10537,21383086.7625,28480.163099999998,750.81
10539,101003.09139999999,1515.617,66.64
10540,940669.9029999999,11153.2719,84.34
10542,322227355.0503,2243590.8847,143.62
10543,371413.2838,7734.738600000001,48.02
10546,150395.405,393.6011,382.1
10547,313339.9956,2062.6355,151.91
10549,143655.4486,1713.5508,83.83
10552,6359521.4861,5147.8264,1235.38
10554,37875.2522,541.2336,69.98
10557,2283003.513,19716.1445,115.79
10558,11740846.0338,637246.6715,18.42
10559,722.0023,20.0841,35.95
10560,37826465.4265,467656.8214,80.89
10561,300267.5189,5561.7742,53.99
10564,7265927.8618,105509.5616,68.87
10565,91049730.9116,913198.4399,99.7
10567,71194639.1594,116781.101,609.64
10569,411.3079,30.899,13.31
10570,396640.3186,2636.7209,150.43
10571,16246138.9573,527391.9725,30.8
10573,11316082.0266,78560.0097,144.04
10574,2793465.9124,26122.6203,106.94
10575,33499.6019,334.2246,100.23
10576,3938848.9965,1860.3801,2117.23
10577,37484107.9207,303650.5114,123.44
10579,1459723.921,99475.9566,14.67
10581,687643.2953,2040.7292,336.96
10582,6687178.7954,13142.5583,508.82
10583,620519.7108,12305.9681,50.42
10584,249935679.5264,3372549.0207,74.11
